Flex1,Flex2,Flex3,Flex4,Flex5,Ax,Ay,Az,Gx,Gy,Gz,Letra
4095.000468423767,2438.013435912424,2693.997854826157,3761.0058939591695,2991.9901971382933,9.925282091953934,0.8687062641276199,1.6499578925501028,-1.0789231656056593,-0.6938745284155938,-1.8640917262049843,a
4095.0064726263554,2559.015113530332,2773.9917332041337,3138.6230293708745,3754.746561781124,10.109264069210669,2.502915654984535,-0.4746224935827968,1.1140291258505943,1.2629247462755102,0.1024532580517469,a
4094.987296385579,2558.997122050657,2774.1950202098083,3134.3543889704843,3746.6753038386073,10.096931564574328,2.4520594282048465,-0.4743841791629363,1.358798350057103,0.1562139574324912,0.2250353040067682,a
4095.0169609458,2558.991361176486,2771.45787526351,3136.281527914143,3758.884636230796,10.076153521377966,2.415131851890065,-0.4457489312302584,1.5023532262426431,0.9802182601320084,0.1086868845593302,a
4095.003718016051,2559.015251291756,2768.121902793809,3137.094474292616,3770.304304624271,10.03274845058115,2.459599461050222,-0.4624346448060916,0.8676583317721931,1.9064463496805704,0.0794611396562005,a
4095.007832123545,2558.9934888063285,2767.7109580376323,3132.219628796875,3762.165916186188,10.02010125852644,2.492907973714509,-0.4967802448420556,-0.2110066460940514,0.906855629054208,0.3822027283746095,a
4094.999337560948,2558.999870995981,2770.700034876249,3135.466043994037,3750.873197730047,10.071856018013344,2.3828133399275377,-0.4630505521398466,0.0977466960918816,-1.330880193619559,0.8149624182460091,a
4094.9975648178392,2559.003520887781,2773.634399879697,3139.3472979048274,3746.876807333568,10.10405019413306,2.3674339449062822,-0.4803792077327445,1.0365358334806505,-1.1274574143210851,1.0059271992602803,a
4095.0003006129496,2558.994887979021,2773.379280031482,3136.58034692319,3751.7218012743406,10.082191509080715,2.502859479125815,-0.5521158234044293,1.4956542886556212,1.7436488209323997,0.8780168127233081,a
4095.0201940633056,2558.988438648205,2770.477554434129,3134.447609466864,3758.250648274921,10.034811025476667,2.5492462905902897,-0.4695866897338885,1.6988594496032623,1.5073899429303743,0.9633357508557993,a
